sample,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL2-A,FL4-H,Time
1,371,396,2432.871983007834,507.8872973518428,18.156913861446885,110,21.739192176242046,1
1,190,62,7.5137255448613365,1006.7752981368568,26.98267758258263,213,1,1
1,141,197,3.1944700959985375,597.2395816773021,3.109342919964865,132,29.524715962545578,1
1,167,265,1977.824185488234,143.9984347108564,5.839469730039315,28,4.579326023042523,1
1,128,30,1.321941148466029,1.6407928824139904,5.632914221730313,0,1.6556320763513133,1
1,208,60,8.295949126585052,1121.639699626748,10.868463043007702,240,1,1
1,172,280,1907.8639838148179,997.7517148699251,2.5506279612262257,219,9.15960684216839,1
1,236,309,12.665994531543925,1342.934221572895,15.863207563852713,296,32.59841474641885,1
1,353,87,18.822716752161217,825.8687742710456,2.8416326717428775,179,1,1
1,85,127,597.2395816773021,64.61921551540384,3.9649751448321986,10,2.8416326717428775,1
1,407,621,3158.7208089192136,208.29103439587823,2.4164994785928084,41,14.894314772172436,1
1,233,39,3.8593153242735214,295.91245519828203,12.439965024972674,64,130.42084766886575,1
1,234,456,2992.6148790840957,208.29103439587823,6.10834775094685,39,4.965833796260391,1
1,107,206,1807.5361801875874,39.3829204209698,3.1658385165802594,0,2.5969719162426155,1
1,130,234,1205.4075847637703,92.63272039044861,1,15,5.78713139650923,1
1,286,55,5.999341953993942,347.9721423969651,1.7953719996235722,74,1.5130843788045587,3
1,261,414,2567.9092260997368,576.1138406291025,3.790444369349615,132,16.151436105580693,3
1,137,105,7.054802310718644,129.2519042304821,5.78713139650923,28,1.5970685524504655,3
1,411,218,50.22035350215222,280.3514681741324,1.3100927786766214,62,17.047926105426942,3
1,141,83,19.86747693496753,1238.4090729565453,13.369024117359709,273,1,3
1,188,489,2544.8934223086476,137.65989346902282,4.497606202396823,25,8.221593718918115,3
1,222,79,11.57546941826492,1091.7499159420975,14.238694947958134,233,145.3007445406026,3
1,206,33,4.457294800096526,2.0002085014429065,3.8593153242735214,0,1,3
1,140,229,65.20362630934878,653.505529858691,15.721027899137114,156,32.59841474641885,3
1,224,406,4736.573933498017,428.0318151210236,6.866803869618953,91,30.06116899655925,3
1,60,17,3.026484237885337,15.580122570458364,6.219334142415033,3,1,3
1,130,116,3.0538555088334154,173.96793491575778,4.833502800813685,38,1,3
1,95,240,3019.6798383768937,192.07903311097346,3.281927872511474,37,13.859258028876345,3
1,168,308,1015.8804899380177,47.152995383813824,2.8932640733876096,3,1.241199643658838,3
1,129,253,1111.5866031276498,50.674542189345296,2.5051110317749283,5,6.163591138387411,3
1,192,193,1622.430783527979,41.196304544852914,3.55893165592484,0,7.31349758281927,6
1,136,21,1.9294565149030696,1,2.4164994785928084,0,1,6
1,237,577,1791.3354914538666,121.35745805269733,4.921325736881875,22,6.744263133752843,6
1,591,987,8658.42511513922,641.8434742587398,21.935799616584777,133,35.992103880951845,6
1,285,89,13.012762441640009,387.6727706757385,12.108461188433376,84,3.495421162208289,6
1,321,67,5.482806671455711,1.4079349836552304,4.338515500970489,0,1.0844027639161342,6
1,326,155,4.790180805255386,99.55084845258763,4.833502800813685,20,4.185052204466098,6
1,213,88,1.8445254549329044,99.55084845258763,1.6115123071955162,18,1.0942100120413492,6
1,220,94,3.464092201348252,1593.4778869722802,6.623909184087666,349,1,6
1,154,43,19.512934226359633,5.482806671455711,1.6260866900534394,0,1.2751810420694936,6
1,177,83,7.930776992703182,357.4988773320025,7.581679051819495,79,1.5130843788045587,6
1,60,30,1.382809846513615,2.2689045538915216,5.241463796598737,0,1.3100927786766214,6
1,131,335,1091.7499159420975,73.29977462151207,1.241199643658838,11,5.147927874669685,6
1,101,192,2368.040096860482,37.64935806792467,2.9993582917311614,0,5.010744382814623,6
1,131,66,1,2.8416326717428775,1,0,1.114091398251884,6
1,342,122,4.538282177656346,154.7527298225434,1,31,3.722802442901899,7
1,111,651,6.163591138387411,7.5137255448613365,10.578837052194233,0,1,7
1,389,103,34.40779891758288,125.80756157787816,4.2996300059148105,23,24.43848566661409,7
1,216,206,4.2996300059148105,97.77432556696273,3.9294376386608425,17,1.2637517764381048,7
1,83,206,2710.4417493170313,147.9408046635224,9.495484004986881,37,9.326033468832199,7
1,466,135,22.53635501477208,103.2013169836707,2.1495909065545673,17,13.735039477752878,7
1,157,52,1,11.892381077160415,1.15494444624982,0,1,7
1,186,185,10.868463043007702,451.7898413029462,6.991571124772465,105,10.022533513063097,7
1,59,19,6.275581281520446,1.3581330770336553,3.8593153242735214,0,1,7
1,113,60,8.074876241116565,8.915518952590332,2.248568686290629,0,1,7
